species	date_collected	plot	sex	weight_g	scale_calibrated	field_season																					
dm	2013-07-16	2	f	na	yes	2013																					
dm	2013-07-16	7	m	33	yes	2013																					
dm	2013-07-16	3	m	na	yes	2013																					
dm	2013-07-16	1	m	na	yes	2013																					
dm	2013-07-18	3	m	40	yes	2013																					
dm	2013-07-18	7	m	48	yes	2013																					
dm	2013-07-18	4	f	29	yes	2013																					
dm	2013-07-18	6	f	37	yes	2013																					
do	2013-08-19	8	f	52	yes	2013																					
do	2013-10-17	3	f	33	yes	2013																					
do	2013-10-17	3	f	50	yes	2013																					
do	2013-12-10	9	f	40	yes	2013																					
do	2013-12-10	1	m	45	yes	2013																					
do	2013-12-11	8	f	41	yes	2013																					
ds	2013-11-12	9	f	117	yes	2013																					
ds	2013-11-13	11	f	126	yes	2013																					
ds	2013-11-13	17	m	132	no	2013																					
ds	2013-11-13	14	f	113	no	2013																					
ds	2013-11-13	11	f	122	yes	2013																					
ds	2013-11-13	4	f	107	yes	2013																					
ds	2013-11-13	4	f	115	yes	2013																					
dm	2014-01-09	1	m	40	yes	2014																					
dm	2014-01-09	1	f	36	yes	2014																					
dm	2014-03-13	1	f	51	yes	2014																					
dm	2014-03-13	1	f	44	yes	2014																					
ds	2014-03-13	1	f	146	yes	2014																					
na	2014-01-08	2	na	na	yes	2014																					
dm	2014-01-08	2	m	44	yes	2014																					
pf	2014-01-08	2	f	7	yes	2014																					
dm	2014-01-08	2	m	45	yes	2014																					
ot	2014-01-08	2	na	na	yes	2014																					
ds	2014-01-08	2	m	157	no	2014																					
ox	2014-01-08	2	na	na	yes	2014																					
na	2014-02-18	2	m	218	no	2014																					
pf	2014-02-18	2	f	7	yes	2014																					
dm	2014-02-18	2	m	52	yes	2014																					
pf	2015-03-11	3	m	8	yes	2014																					
na	2015-04-08	3	f	na	yes	2014																					
na	2015-05-06	3	na	na	yes	2014																					
na	2015-05-18	3	f	182	yes	2014																					
ot	2015-06-09	3	f	29	yes	2014																					
na	2015-07-08	3	f	115	yes	2014																					
na	2015-07-08	3	m	190	yes	2014																					
dm	1978-01-08	4	f	37	yes	2014																					
dm	1978-01-08	4	m	na	yes	2014																					
dm	1978-01-08	4	f	48	yes	2014																					
do	1978-01-08	4	m	52	yes	2014																					
ol	1978-01-08	4	m	35	yes	2014																					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											